Age,City,Gender,Income,Education,Occupation/Job,Geophysical Location,Tech Level,Disability,Budget,Usage Frequency
69,Patna,Non-binary,732454,Undergraduate degree,Unemployed,Sub-urban,Low,Mobility impairment,18638,Weekly
27,Pune,Non-binary,607773,Primary education,Businessperson,Sub-urban,Low,Hearing impairment,74124,Monthly
22,Lucknow,Female,1847149,Undergraduate degree,Teacher,Rural,Medium,Hearing impairment,86303,Monthly
52,Surat,Male,1238999,Postgraduate degree,Artist,Urban,High,Speech impairment,62017,Monthly
70,Hyderabad,Male,1378788,Secondary education,Student,Sub-urban,Low,Mobility impairment,68162,Weekly
21,Delhi,Female,223451,Secondary education,Engineer,Urban,Low,Hearing impairment,61975,Weekly
38,Vadodara,Non-binary,1206138,No formal education,Teacher,Urban,High,Hearing impairment,37263,Monthly
63,Visakhapatnam,Male,1906859,Secondary education,Farmer,Urban,Low,Speech impairment,36448,Daily
34,Vadodara,Male,251609,No formal education,Teacher,Rural,Low,Cognitive impairment,16265,Daily
80,Indore,Male,648626,No formal education,Teacher,Rural,Low,Hearing impairment,62382,Monthly
31,Jaipur,Female,1914290,Undergraduate degree,Doctor,Urban,High,Mobility impairment,34647,Monthly
53,Ahmedabad,Non-binary,644015,Undergraduate degree,Doctor,Rural,Medium,Visual impairment (Blind),27076,Monthly
25,Lucknow,Male,758216,No formal education,Businessperson,Rural,Low,Visual impairment (Blind),57196,Daily
30,Jaipur,Non-binary,1139742,No formal education,Doctor,Rural,High,Hearing impairment,17866,Daily
25,Mumbai,Female,1131156,Secondary education,Technician,Rural,Low,Mobility impairment,29986,Monthly
36,Ahmedabad,Non-binary,1956101,Undergraduate degree,Engineer,Urban,High,Visual impairment (Blind),15351,Monthly
66,Surat,Female,896291,Primary education,Technician,Sub-urban,High,Visual impairment (Blind),37870,Daily
33,Pune,Female,1521525,No formal education,Engineer,Sub-urban,High,Visual impairment (Blind),99097,Weekly
36,Ahmedabad,Male,430708,Postgraduate degree,Engineer,Sub-urban,High,Cognitive impairment,32112,Daily
54,Vadodara,Non-binary,1878133,Undergraduate degree,Farmer,Sub-urban,Low,Speech impairment,35782,Daily
59,Pimpri-Chinchwad,Male,1107338,Secondary education,Technician,Sub-urban,Medium,Mobility impairment,65566,Weekly
48,Hyderabad,Male,1867939,Postgraduate degree,Teacher,Sub-urban,High,Hearing impairment,21467,Monthly
67,Jaipur,Female,374374,Primary education,Engineer,Sub-urban,High,Cognitive impairment,66732,Daily
18,Surat,Male,1478161,Undergraduate degree,Engineer,Sub-urban,Medium,Mobility impairment,90203,Monthly
29,Pune,Female,1595337,Primary education,Engineer,Rural,Medium,Speech impairment,71803,Monthly
78,Kanpur,Male,1719929,Secondary education,Farmer,Rural,Low,Mobility impairment,81210,Weekly
40,Nagpur,Female,678731,Postgraduate degree,Technician,Sub-urban,Low,Visual impairment (Blind),44833,Monthly
68,Bengaluru,Non-binary,157968,Secondary education,Unemployed,Rural,High,Hearing impairment,85356,Weekly
43,Visakhapatnam,Female,1920731,Undergraduate degree,Unemployed,Rural,High,Speech impairment,63824,Daily
72,Lucknow,Female,553664,Undergraduate degree,Artist,Sub-urban,Low,Mobility impairment,94565,Daily
46,Bengaluru,Female,1122073,Secondary education,Teacher,Sub-urban,Medium,Visual impairment (Blind),92025,Monthly
65,Kanpur,Female,1924252,Secondary education,Engineer,Rural,Medium,Hearing impairment,80084,Monthly
64,Jaipur,Female,595764,Primary education,Artist,Urban,Medium,Speech impairment,52031,Daily
41,Chennai,Non-binary,1759805,Postgraduate degree,Engineer,Rural,High,Speech impairment,58095,Monthly
18,Jaipur,Male,986182,Postgraduate degree,Unemployed,Urban,Low,Mobility impairment,88120,Monthly
78,Pune,Female,167533,Primary education,Technician,Sub-urban,High,Speech impairment,25674,Daily
55,Patna,Male,1524913,Secondary education,Doctor,Sub-urban,High,Visual impairment (Blind),77314,Daily
76,Kanpur,Female,1898202,Secondary education,Student,Urban,Low,Cognitive impairment,93048,Weekly
36,Bengaluru,Female,285254,Undergraduate degree,Technician,Sub-urban,Medium,Speech impairment,53978,Weekly
28,Bhopal,Female,237992,Secondary education,Unemployed,Rural,High,Mobility impairment,39445,Monthly
73,Lucknow,Non-binary,652412,Secondary education,Technician,Sub-urban,Medium,Cognitive impairment,32370,Monthly
68,Pune,Female,1720543,Undergraduate degree,Student,Sub-urban,Medium,Hearing impairment,72066,Weekly
80,Ahmedabad,Non-binary,912846,Postgraduate degree,Unemployed,Rural,Medium,Visual impairment (Blind),21805,Monthly
23,Lucknow,Female,830295,Secondary education,Businessperson,Urban,Low,Hearing impairment,52513,Weekly
47,Surat,Male,481188,Undergraduate degree,Farmer,Sub-urban,Medium,Cognitive impairment,58884,Weekly
23,Bhopal,Non-binary,536021,Primary education,Businessperson,Sub-urban,Low,Speech impairment,84322,Weekly
64,Chennai,Female,1339815,Secondary education,Unemployed,Rural,Medium,Cognitive impairment,36658,Daily
76,Mumbai,Female,1633379,Primary education,Businessperson,Urban,High,Mobility impairment,86158,Weekly
56,Kanpur,Non-binary,1736846,Undergraduate degree,Technician,Sub-urban,Medium,Visual impairment (Blind),61706,Daily
64,Mumbai,Male,789654,Undergraduate degree,Farmer,Rural,Low,Cognitive impairment,47639,Daily
28,Thane,Male,1607165,Secondary education,Farmer,Urban,Low,Visual impairment (Blind),19569,Monthly
79,Indore,Non-binary,1756224,No formal education,Student,Urban,Low,Hearing impairment,87928,Monthly
79,Visakhapatnam,Female,474374,Undergraduate degree,Technician,Sub-urban,Low,Mobility impairment,42843,Monthly
78,Kolkata,Male,1439339,Postgraduate degree,Teacher,Sub-urban,Medium,Speech impairment,21208,Daily
22,Thane,Male,920056,Undergraduate degree,Unemployed,Sub-urban,Medium,Speech impairment,22895,Monthly
53,Delhi,Female,517957,Postgraduate degree,Doctor,Sub-urban,Medium,Visual impairment (Blind),82540,Daily
22,Hyderabad,Non-binary,1945405,Primary education,Doctor,Sub-urban,High,Mobility impairment,41620,Daily
30,Bhopal,Non-binary,318796,Undergraduate degree,Artist,Urban,Low,Speech impairment,39912,Monthly
22,Vadodara,Non-binary,1901689,Postgraduate degree,Technician,Urban,Medium,Visual impairment (Blind),92759,Daily
32,Visakhapatnam,Female,1944492,No formal education,Farmer,Sub-urban,Medium,Mobility impairment,49030,Daily
40,Thane,Female,1411630,Secondary education,Artist,Urban,High,Hearing impairment,33734,Weekly
65,Kolkata,Non-binary,1414316,No formal education,Student,Urban,Low,Mobility impairment,8971,Weekly
52,Bhopal,Non-binary,1077802,Postgraduate degree,Engineer,Sub-urban,Medium,Speech impairment,77213,Daily
24,Kolkata,Non-binary,284873,Secondary education,Artist,Urban,Low,Speech impairment,27158,Daily
52,Bengaluru,Male,199230,Postgraduate degree,Businessperson,Sub-urban,Low,Visual impairment (Blind),33437,Weekly
